IDfg,Season,Name,Age,wOBA_proj,wOBA_proj_lower,wOBA_proj_upper,wOBA_marcel,wOBA_actual_2024,Team,error
10028,2024,Christian Bethancourt,32,0.2982414083588444,0.24845867398418942,0.3475917295894911,0.29625520765410396,0.263,- - -,0.03524140835884437
10155,2024,Mike Trout,32,0.41438053977214345,0.3671146638528925,0.4612481568985281,0.34275283533224865,0.365,LAA,0.04938053977214346
10200,2024,Tucker Barnhart,33,0.23275990326085724,0.18470588746708874,0.2809811271506916,0.29236099054828435,0.239,ARI,0.0062400967391427475
10243,2024,Randal Grichuk,32,0.3335563151528571,0.28540643992467957,0.38138170027076473,0.3112080290993548,0.373,ARI,0.03944368484714289
10324,2024,Marcell Ozuna,33,0.3580855739535709,0.3102988382030355,0.40553923103100536,0.32100749873146717,0.395,ATL,0.03691442604642914
10441,2024,Jon Singleton,32,0.2647846840534735,0.21252566330749392,0.31630024104527416,0.2960356336189017,0.312,HOU,0.047215315946526504
10472,2024,Enrique Hernandez,32,0.28099239287160677,0.2330799062827292,0.32878639825529277,0.3011904071577783,0.285,LAD,0.004007607128393209
10681,2024,Gio Urshela,32,0.2882628781667376,0.2381570363037252,0.3369875175345886,0.3110422173746532,0.281,- - -,0.007262878166737596
10815,2024,Jurickson Profar,31,0.3165021887137257,0.2683568306262884,0.3636754005096612,0.30639670466762087,0.365,SDP,0.048497811286274284
10950,2024,Adam Duvall,35,0.3454120110644351,0.2976286801471416,0.39278573560931307,0.31351769122600925,0.252,ATL,0.09341201106443509
11038,2024,Kevin Kiermaier,34,0.2862259343427472,0.238009678967468,0.3335015900432463,0.30650502483159636,0.241,- - -,0.04522593434274719
11281,2024,Whit Merrifield,35,0.30065198550738637,0.25100158199517875,0.34969544501701,0.30278107406632343,0.283,- - -,0.017651985507386392
11368,2024,Yasmani Grandal,35,0.3035717656380098,0.2567543852122392,0.35090006372508303,0.30566403486999777,0.308,PIT,0.004428234361990191
11442,2024,Gary Sanchez,31,0.3433940053700284,0.2941277271557857,0.39206098917603555,0.3061066009769621,0.307,MIL,0.036394005370028404
11445,2024,Mark Canha,35,0.3179687816219621,0.26879905581111674,0.3661385011274479,0.32115894384031857,0.31,- - -,0.007968781621962129
11477,2024,Christian Yelich,32,0.36408083017011844,0.3161400720849821,0.41259889636125235,0.3227153820489175,0.391,MIL,0.026919169829881573
11489,2024,Michael A. Taylor,33,0.3094019995184833,0.26088206485983884,0.3574989455911245,0.30114480811306304,0.242,PIT,0.0674019995184833
11493,2024,Manny Machado,31,0.3510049481812483,0.3038241376993552,0.3983708448528523,0.3322841690620127,0.34,SDP,0.011004948181248253
11579,2024,Bryce Harper,31,0.3973734827872186,0.3498392072184689,0.44440785515076836,0.3498903475279128,0.38,PHI,0.01737348278721862
